time | phase | epoch | batch | work | done | ETA | loss | card@1 | zone | tile | timing
01:09:50 | 4.2 | 1/10 | 3375/3927 |   8.59% | 1,728,000/20,102,200 | 2h02m | 3.422 | — | — | — | —
01:09:55 | 4.2 | 1/10 | 3400/3927 |   8.66% | 1,740,800/20,102,200 | 2h02m | 3.406 | — | — | — | —
01:10:01 | 4.2 | 1/10 | 3425/3927 |   8.72% | 1,753,600/20,102,200 | 2h02m | 3.452 | — | — | — | —
01:10:06 | 4.2 | 1/10 | 3450/3927 |   8.79% | 1,766,400/20,102,200 | 2h02m | 3.360 | — | — | — | —
01:10:11 | 4.2 | 1/10 | 3475/3927 |   8.85% | 1,779,200/20,102,200 | 2h02m | 3.396 | — | — | — | —
01:10:17 | 4.2 | 1/10 | 3500/3927 |   8.91% | 1,792,000/20,102,200 | 2h02m | 3.457 | — | — | — | —
01:10:23 | 4.2 | 1/10 | 3525/3927 |   8.98% | 1,804,800/20,102,200 | 2h02m | 3.416 | — | — | — | —
01:10:28 | 4.2 | 1/10 | 3550/3927 |   9.04% | 1,817,600/20,102,200 | 2h02m | 3.318 | — | — | — | —
01:10:33 | 4.2 | 1/10 | 3575/3927 |   9.10% | 1,830,400/20,102,200 | 2h02m | 3.351 | — | — | — | —
01:10:38 | 4.2 | 1/10 | 3600/3927 |   9.17% | 1,843,200/20,102,200 | 2h02m | 3.295 | — | — | — | —
01:10:44 | 4.2 | 1/10 | 3625/3927 |   9.23% | 1,856,000/20,102,200 | 2h02m | 3.348 | — | — | — | —
01:10:49 | 4.2 | 1/10 | 3650/3927 |   9.29% | 1,868,800/20,102,200 | 2h02m | 3.449 | — | — | — | —
01:10:54 | 4.2 | 1/10 | 3675/3927 |   9.36% | 1,881,600/20,102,200 | 2h02m | 3.229 | — | — | — | —
01:10:59 | 4.2 | 1/10 | 3700/3927 |   9.42% | 1,894,400/20,102,200 | 2h02m | 3.478 | — | — | — | —
01:11:04 | 4.2 | 1/10 | 3725/3927 |   9.49% | 1,907,200/20,102,200 | 2h02m | 3.364 | — | — | — | —
01:11:10 | 4.2 | 1/10 | 3750/3927 |   9.55% | 1,920,000/20,102,200 | 2h01m | 3.379 | — | — | — | —
01:11:15 | 4.2 | 1/10 | 3775/3927 |   9.61% | 1,932,800/20,102,200 | 2h01m | 3.383 | — | — | — | —
01:11:21 | 4.2 | 1/10 | 3800/3927 |   9.68% | 1,945,600/20,102,200 | 2h01m | 3.332 | — | — | — | —
01:11:26 | 4.2 | 1/10 | 3825/3927 |   9.74% | 1,958,400/20,102,200 | 2h01m | 3.344 | — | — | — | —
01:11:32 | 4.2 | 1/10 | 3850/3927 |   9.80% | 1,971,200/20,102,200 | 2h01m | 3.246 | — | — | — | —
01:11:37 | 4.2 | 1/10 | 3875/3927 |   9.87% | 1,984,000/20,102,200 | 2h01m | 3.463 | — | — | — | —
01:11:42 | 4.2 | 1/10 | 3900/3927 |   9.93% | 1,996,800/20,102,200 | 2h01m | 3.359 | — | — | — | —
